Company,Balance,Total SMS,Unpaid SMS,Pending Payment,Payment Type,Message Count
rootme,-25720,25720,25720,0,postpaid,644
palliative,-3440,3440,3440,0,postpaid,86
3tds,-560,560,560,0,postpaid,14
MakeThemBuy,-58080,58080,58080,0,postpaid,1453
Buildex,-13600,13600,13600,0,postpaid,496
osperb,762,238,238,0,prepaid,13
ipas book,8,11,11,0,prepaid,10
snowhillvythiri,0,25,25,1000,postpaid,25
fzone IMA,-183296,185836,185836,101600,postpaid,9654
Khaf library,-24451,24524,24524,2920,postpaid,1087
ila,0,0,0,0,postpaid,0
ibclub.in,0,0,0,0,postpaid,0
klaybox.in,-1071,1200,1200,5160,postpaid,772
finv,-54,283,283,9160,postpaid,244
grampoo,-81,191,191,4400,postpaid,113
stemxpert,0,0,0,0,postpaid,0
Grocommerce,0,0,0,0,postpaid,0
Wood Log,-2,23,23,840,postpaid,23
Novita Ecommerce,-3,55,55,2080,postpaid,55
Fzone Ecommerce,-17680,17703,17703,920,postpaid,467
idealsply,-1796,4638,4638,113680,postpaid,3199
Chocochi,-37404,37477,37477,2920,postpaid,1016
Al Madeena Books,-419853,438738,438738,755400,postpaid,32758
keralamarry,0,2,2,80,postpaid,2
toysinside.in,-560,3930,3930,134800,postpaid,3387
get24,0,17,17,680,postpaid,17
ideal store,-478,1212,1212,29360,postpaid,783
Fitcom,-157,338,338,7240,postpaid,221
Mahalo,0,14,14,560,postpaid,14
Deluxe inn,0,18,18,720,postpaid,18
scorio,-53,74,74,840,postpaid,35
khaf.in,-227526,237530,237530,400160,postpaid,17428
babyday,-2001,6296,6296,171800,postpaid,5247
Deals to Home,-7930,8641,8641,28440,postpaid,1315
